País,Categoría,Nombre,Og_Resumida
China,Residencia,“Meaningful Threads” Art Residency China (17–27 August 2025),"La residencia “Meaningful Threads” Art Residency China (17–27 August 2025) está dirigida a artistas visuales internacionales, incluyendo fotógrafos, diseñadores textiles, artistas interdisciplinarios y creadores de arte contemporáneo interesados en explorar el cruce entre arte textil, cultura y sostenibilidad; no se indica restricción geográfica, por lo que artistas de Latinoamérica pueden postular. No se menciona un pago de inscripción obligatorio para participar. Los artistas seleccionados recibirán alojamiento, espacio de trabajo, actividades culturales y talleres, pero no se especifica un monto de dinero directo destinado como honorario, premio o beca para los participantes; tampoco se detalla un presupuesto de producción. La residencia se enfoca en la creación colaborativa y el intercambio cultural, finalizando con una exhibición colectiva de los proyectos desarrollados durante la estancia. Falta información sobre el monto económico exacto destinado a los artistas y sobre posibles costos adicionales no cubiertos, por lo que se recomienda revisar las bases oficiales si estuvieran disponibles para confirmar estos detalles."
EEUU,Convocatoria,Obscura,"Obscura está dirigida a artistas visuales contemporáneos de cualquier nacionalidad, sin restricción geográfica, incluyendo América Latina, que trabajen con fotografía y prácticas relacionadas con la imagen. La convocatoria no requiere pago de inscripción para participar. La disciplina principal es la fotografía, pero se aceptan propuestas experimentales y multidisciplinares que exploren los límites de la imagen. Los artistas seleccionados recibirán un premio de 1.000 euros cada uno, junto con la producción y exhibición de su obra en el marco del programa. No se menciona ninguna restricción para artistas latinoamericanos ni costos de postulación, lo que confirma su apertura internacional y accesible."
EEUU,Residencia,Short-Term Artist Residency,"Short-Term Artist Residency está dirigida a artistas visuales de cualquier nacionalidad, sin restricciones geográficas, por lo que pueden participar artistas de Latinoamérica; la residencia dura entre 2 y 4 semanas, incluye alojamiento gratuito en un apartamento privado y estudio compartido, y un estipendio de 300 euros para gastos personales, además de hasta 200 euros en materiales artísticos; no se requiere pago de inscripción para participar y la convocatoria acepta propuestas de diversas disciplinas visuales, como pintura, escultura, instalación, fotografía, videoarte y medios digitales; los seleccionados también reciben acompañamiento curatorial y la oportunidad de mostrar su trabajo en una exhibición al final de la residencia."
Virtual,Convocatoria,"Technomirage: Calling Artists, Panelists & Performers","Technomirage: Calling Artists, Panelists & Performers está dirigida a artistas, performers y panelistas de todo el mundo, sin restricción geográfica, incluyendo artistas de Latinoamérica, interesados en explorar la intersección entre arte, tecnología y performance. La convocatoria abarca múltiples disciplinas artísticas, como artes visuales, arte digital, performance, música y nuevas tecnologías. No se menciona ningún pago de inscripción para participar. Tampoco se especifica un monto económico destinado a los artistas seleccionados o ganadores en la descripción pública de la oportunidad; no se detalla estipendio, honorario o premio. Los participantes seleccionados tendrán la oportunidad de mostrar su trabajo y colaborar en un evento internacional, pero la información disponible no indica apoyos financieros ni limitaciones de nacionalidad."
México,Residencia,Urban Arts Residency In Mexico,"Urban Arts Residency In Mexico está dirigida a artistas visuales contemporáneos de cualquier nacionalidad, sin restricciones geográficas, incluyendo artistas de Latinoamérica. La residencia ofrece alojamiento, espacio de trabajo y un estipendio de $500 USD para cubrir gastos de producción, además de oportunidades de exposición y vinculación con la escena local. No se requiere pago de inscripción para postularse. La convocatoria abarca disciplinas de artes visuales como pintura, escultura, instalación, fotografía y arte digital."
Estonia,Residencia,Finno-Ugric Creative Residency,"La oportunidad Finno-Ugric Creative Residency está dirigida a artistas y creadores de cualquier nacionalidad interesados en desarrollar proyectos creativos relacionados con temas culturales, lingüísticos o medioambientales vinculados a la región fino-ugria; pueden postular artistas visuales, escritores, músicos, cineastas y otras disciplinas afines. La convocatoria no requiere pago de inscripción para participar. Los artistas seleccionados reciben apoyo financiero que cubre alojamiento, espacio de trabajo y un estipendio mensual (el monto exacto no está especificado en la información disponible), además de cubrir gastos básicos de producción y viaje. La oportunidad está abierta a artistas de Latinoamérica y no existen restricciones geográficas para postular. Falta información sobre el monto exacto del estipendio y detalles adicionales sobre las bases completas."
Reino Unido,Residencia,Baltic X Shape Emergent Residency 2025,"La convocatoria Baltic X Shape Emergent Residency 2025 está dirigida a artistas emergentes de cualquier nacionalidad que se identifiquen como personas con capacidades diferentes, incluyendo América Latina, que trabajen en disciplinas de arte contemporáneo como artes visuales, performance, sonido y medios digitales. No se requiere el pago de inscripción para postular. La residencia ofrece una estancia de 6 semanas en la región del Báltico, cubriendo alojamiento, estudio y un estipendio total de £2,000 para cada artista seleccionado, además de un presupuesto de producción de hasta £1,500. El programa busca proyectos que exploren temas de identidad, territorio y comunidad, brindando acompañamiento curatorial y oportunidades de exposición pública al finalizar la residencia."
EEUU,Beca,"Durational Pedagogies Fellowship, Dia Chelsea, 2025–26","La oportunidad Durational Pedagogies Fellowship, Dia Chelsea, 2025–26 está dirigida a artistas visuales de cualquier nacionalidad, incluyendo América Latina, que trabajen en prácticas contemporáneas y estén interesados en procesos pedagógicos y de investigación a largo plazo; ofrece una beca de $25,000 USD para cada uno de los dos artistas seleccionados, además de un presupuesto de producción adicional de hasta $10,000 USD y acceso a espacio de trabajo en Dia Chelsea durante el año académico 2025–26; no se requiere pago de inscripción para postular, y la convocatoria invita a propuestas que aborden pedagogías experimentales, participación comunitaria y producción artística en diálogo con el contexto institucional del museo; la oportunidad no restringe por nacionalidad ni residencia, y la postulación se realiza en línea sin costo."
EEUU,Convocatoria,Studio Immersion Project,"La convocatoria Studio Immersion Project está dirigida a artistas visuales de cualquier parte del mundo, incluyendo América Latina, que trabajen con técnicas de grabado contemporáneo, especialmente interesados en la producción de obra gráfica innovadora; pueden postular tanto artistas emergentes como establecidos. No se requiere pago de inscripción para participar. El programa selecciona a varios artistas para una residencia intensiva, proporcionando acceso a estudio, asistencia técnica especializada y la oportunidad de producir una edición de obra nueva, además de exhibición pública del trabajo realizado; sin embargo, no se especifica un monto de apoyo económico directo ni estipendio para los seleccionados. La información disponible no menciona restricciones geográficas ni cuotas de participación, pero tampoco detalla premios monetarios o ayudas para gastos de viaje y manutención."
EEUU,Convocatoria,Global Connection | Call For Photography,"Global Connection | Call For Photography está dirigida a fotógrafos de todo el mundo, sin restricciones geográficas explícitas, por lo que artistas de Latinoamérica pueden participar. La convocatoria acepta propuestas en fotografía, enfocándose en imágenes que exploren la conexión global a través de perspectivas personales y culturales. No se requiere pago de inscripción para postular. Los artistas seleccionados recibirán premios en efectivo: el primer lugar obtendrá 300 €, el segundo 200 € y el tercero 100 €. Además, las obras seleccionadas se exhibirán en una galería virtual y recibirán visibilidad internacional."
