Resumen generado por la IA,Oportunidades relacionadas,Nombre,Destinatarios,URL,País,Fecha de cierre,Publicar,Entidad,Inscripcion,Obtener Base URL,Obtener BASE URL?,Og_Resumida,Obtener Disciplinas,Base URL,Categoría,Disciplina,Created time,Estado de la oportunidad,AI keywords,Top,Obtener Disciplina,Instituciones,Tutorial,URL Tutorial,Texto Tutorial,Monto_Extraido_LLM,Moneda_Extraida_LLM
Residencia︱Prostor Curator-in-Residence Programme,"Curadora, residencia de artistas en Santa Fe, Argentina (https://www.notion.so/Curadora-residencia-de-artistas-en-Santa-Fe-Argentina-2329dd874b3a811ba17cf0cca725c33d?pvs=21), Open Call: Curators in Central & Eastern Europe - Residency in London (https://www.notion.so/Open-Call-Curators-in-Central-Eastern-Europe-Residency-in-London-2399dd874b3a81aeb8a8ccfd1cde71ae?pvs=21)",Prostor: Curator-in-Residence Programme 2026 (Croatia),Revisar,https://on-the-move.org/news/prostor-curator-residence-programme-2026-croatia,Croacia,"August 15, 2025",Yes,Prostor,,,No,"Dirigida a curadores emergentes y de media carrera que sean residentes legales de países participantes en el programa Creative Europe (excluyendo Croacia), la residencia Prostor: Curator-in-Residence Programme 2026 en Split, Croacia, se desarrollará del 20 de agosto al 17 de septiembre de 2026. La convocatoria no requiere pago de inscripción y cubre hasta 300 EUR en gastos de viaje, alojamiento en el espacio de residencia, uso de estudio y coworking, un estipendio de 900 EUR para manutención y un presupuesto de producción de 1.000 EUR destinado a la exposición que organizará el curador invitado. La oportunidad está centrada en la curaduría contemporánea, con la posibilidad de invitar hasta cinco artistas a participar en la muestra resultante. No está abierta a artistas ni curadores de Latinoamérica, salvo que residan legalmente en un país de Creative Europe.",,https://www.chc-prostor.com/residency,Residencia,"Otras, Curaduría","August 2, 2025 10:35 PM",,,No,No,,No,,,,
Concurso︱The ING Discerning Eye,"Convocatoria | Luxembourg Art Prize 2025 (https://www.notion.so/Convocatoria-Luxembourg-Art-Prize-2025-1b89dd874b3a8126b4e3d8523f9f799a?pvs=21), Call for Art: The Aesthetics of Power (https://www.notion.so/Call-for-Art-The-Aesthetics-of-Power-2369dd874b3a81f88676e8eaa23fea03?pvs=21)",The ING Discerning Eye 2025,Revisar,https://artopps.co.uk/opportunities/discerningeye-2025,Reino Unido,"August 28, 2025",Yes,Discerning Eye,,,No,"La convocatoria The ING Discerning Eye 2025 está dirigida exclusivamente a artistas residentes en el Reino Unido, quienes pueden presentar obras de pequeño formato (máximo 50 cm en cualquier dimensión) en cualquier disciplina artística, incluyendo pintura, dibujo, escultura, grabado, fotografía, textil y medios mixtos. Todas las obras deben estar a la venta y serán seleccionadas por seis figuras destacadas del mundo del arte para ser exhibidas en la Mall Galleries de Londres. El certamen otorga un fondo total de premios de £13,000 a repartir entre los artistas seleccionados; los premios en ediciones anteriores incluyeron un primer premio de £5,000, otros premios principales de £2,500 y £1,000, así como premios menores de entre £200 y £1,500. La oportunidad no está abierta a artistas de Latinoamérica, ya que solo pueden participar quienes residan en el Reino Unido. No se especifica en la información disponible si existe un costo de inscripción para participar.",,https://www.discerningeye.org/exhibition,Convocatoria,"Visuales, Pintura, Fotografía","August 2, 2025 10:39 PM",,,No,No,,No,,,,
Residencia︱La Maldita Estampa,Residencia | LABA Laboratorio de Barro (https://www.notion.so/Residencia-LABA-Laboratorio-de-Barro-1aa9dd874b3a81b9aaaece9c67f7e5ca?pvs=21),Convocatoria Abierta: Residencias Artísticas Barce...,Revisar,https://lamalditaestampa.eu/,España,"August 30, 2025",Yes,Residencias Artísticas,,,No,"Convocatoria dirigida a artistas de todo el mundo, sin restricción de edad ni nacionalidad, interesados en participar con obras de grabado realizadas mediante procesos de estampación tradicional; pueden presentarse hasta tres obras inéditas por artista. Es requisito abonar una cuota de inscripción (el monto específico no está detallado en las bases consultadas), y enviar las obras por correo postal certificado. Los premios consisten en una residencia artística de un mes en el taller de La Maldita Estampa para el primer premio (incluye uso de equipo, materiales y asesoría técnica, pero no alojamiento ni transporte), una residencia de dos semanas para el segundo premio bajo las mismas condiciones, y materiales de arte valorados en 300 euros para el tercer premio. La convocatoria está abierta a artistas latinoamericanos y de cualquier otra procedencia, siempre que cumplan con los requisitos técnicos y de envío.",,https://lamalditaestampa.eu/,Convocatoria,"Visuales, Grabado","August 2, 2025 10:41 PM",,,No,No,,No,,,,
Premio︱Prilidiano Pueyrredón,"Premio de pintura ""Retrato de una Princesa"" 2025 (https://www.notion.so/Premio-de-pintura-Retrato-de-una-Princesa-2025-22f9dd874b3a81ba8d26ff4921cb37ac?pvs=21), Salón Provincial de Artes Visuales  de Jujuy 2025 (https://www.notion.so/Sal-n-Provincial-de-Artes-Visuales-de-Jujuy-2025-22f9dd874b3a8115a91ad76fd12a2d9a?pvs=21)",Premio Prilidiano Pueyrredón 2025,Revisar,https://visuales.una.edu.ar/noticias/llega-una-nueva-edicion-del-premio-prilidiano-pueyrredon_44902,Argentina,"August 24, 2025",Yes,Premio Prilidiano Pueyrredón,,,No,"Dirigido exclusivamente a estudiantes regulares de grado hasta el año 2024 y graduados/as entre 2020 y 2024 del Departamento de Artes Visuales “Prilidiano Pueyrredón” de la Universidad Nacional de las Artes, el Premio Prilidiano Pueyrredón 2025 busca promover y jerarquizar la producción artística en el campo de las artes visuales; no requiere pago de inscripción para participar. La convocatoria abarca únicamente disciplinas de artes visuales y otorga diplomas como único reconocimiento a los ganadores de las categorías estudiantes y graduados/as, sin estipulación de premios en dinero ni apoyo económico; la oportunidad no está abierta a artistas de Latinoamérica en general, sino restringida a quienes cumplan los requisitos académicos de la institución convocante.",,https://visuales.una.edu.ar/noticias/llega-una-nueva-edicion-del-premio-prilidiano-pueyrredon_44902,Premio,Visuales,"August 2, 2025 10:42 PM",,,No,No,,No,,,,
Convocatoria︱Art in Action New York,Open Call: Exhibit at NAE! (https://www.notion.so/Open-Call-Exhibit-at-NAE-2369dd874b3a81498465e213cc99174a?pvs=21),CICA Museum: Art in Action New York 2025,Revisar,https://cicamuseum.com/call-for-submissions-art-in-action-new-york-2025/,Corea,"August 18, 2025",Yes,CICA,,,No,"Dirigida a artistas, performers, diseñadores y profesionales de campos creativos de cualquier nacionalidad, incluidos latinoamericanos, interesados en participar en el evento Art in Action New York 2025 organizado por CICA Museum; la convocatoria abarca disciplinas como artes visuales, performance, diseño y proyectos creativos experimentales. El evento es de un día, se realiza en Brooklyn, Nueva York, el 20 de diciembre de 2025, y cada seleccionado dispondrá de 20 minutos para presentar su obra en formato de charla, performance, presentación o taller, además de un espacio tipo booth para exhibir y vender obras, publicaciones u objetos de diseño. No se menciona ningún monto de dinero asignado a los artistas seleccionados ni se indica pago de inscripción para participar; tampoco se ofrece apoyo económico para viaje o producción. La oportunidad está abierta internacionalmente y contempla la posibilidad de que los participantes expongan también en una muestra grupal en el CICA Museum de Corea en diciembre de 2025, pero no se especifican beneficios económicos directos para los artistas.",,https://cicamuseum.com/call-for-submissions-art-in-action-new-york-2025/,Convocatoria,"Otras, Multidisciplinar, Visuales","August 2, 2025 10:42 PM",,,No,No,,No,,,,
Convocatoria︱Abstract Mind 2026,Gyeonggi Ceramics Biennale 2026 International Competition (https://www.notion.so/Gyeonggi-Ceramics-Biennale-2026-International-Competition-2319dd874b3a8182aa2ac0e73e1f703c?pvs=21),Abstract Mind 2026: the 11th International Exhibit...,Revisar,https://cicamuseum.com/call-for-artists-abstract-mind/,Corea,"August 22, 2025",Yes,CICAMuseum,,,No,"Dirigida a artistas de cualquier nacionalidad, incluyendo latinoamericanos, Abstract Mind 2026: the 11th International Exhibition on Abstract Art del CICA Museum convoca obras en pintura, dibujo, grabado, escultura, instalación, fotografía, arte digital 2D, video y arte interactivo que exploren la abstracción y conceptos abstractos; la participación no contempla un pago de inscripción, pero los artistas seleccionados deben asumir los gastos de envío y devolución de obras físicas, así como posibles costos adicionales si requieren impresión o montaje especial para obras digitales o mayores dimensiones; no se especifica monto de premio o remuneración para los artistas participantes ni compensación económica por exhibición, y la convocatoria está abierta hasta el 22 de agosto de 2025 con la muestra prevista del 15 de abril al 3 de mayo de 2026.",,https://cicamuseum.com/call-for-artists-abstract-mind/,Convocatoria,"Visuales, Multidisciplinar","August 2, 2025 10:43 PM",,,No,No,,No,,,,
Convocatoria︱CICA Experimental Film And Video 2026,Feria Internacional de Arte Contemporáneo de Chile. Ch.ACO–16 (https://www.notion.so/Feria-Internacional-de-Arte-Contempor-neo-de-Chile-Ch-ACO-16-2399dd874b3a81e8979ce16a2ba5756a?pvs=21),Call For Artists: Cica Experimental Film And Video 2026,Revisar,https://www.artconnect.com/opportunity/9OvVaWH4ZSZpe7dRFDFa7,Corea del Sur,"August 3, 2025",Yes,CICA,,,No,"El Museo CICA invita a cineastas y artistas experimentales de todo el mundo a participar en la Exposición de Cine y Video Experimental CICA 2026. Se aceptan películas experimentales, videoarte y animaciones monocanal. Proporcionaremos proyectores y reproductores de DVD/DIVX para la muestra. Se proyectarán varias obras monocanal a través de un proyector. Si la obra requiere proyectarse exclusivamente a través de un proyector, o si se necesitan más de dos proyectores/monitores, indique los requisitos especiales en el correo electrónico de inscripción. Pueden aplicarse cargos adicionales.",,https://cicamuseum.com/call-for-artists-cica-experimental-film-and-video/,Convocatoria,"Cine, Videoarte","August 2, 2025 10:49 PM",,,No,No,https://cicamuseum.com/,No,,,,
Convocatoria︱CSI Biennale 2025,Convocatoria | Luxembourg Art Prize 2025 (https://www.notion.so/Convocatoria-Luxembourg-Art-Prize-2025-1b89dd874b3a8126b4e3d8523f9f799a?pvs=21),Chicago Sculpture International 2025 Biennale,Revisar,https://www.artconnect.com/opportunity/HE48fkXw_Vve-2FDPLCmN,EEUU,"August 3, 2025",Yes,CSI,,,No,"Materialidad en la Escultura: Un Diálogo entre la Sustancia y la Forma. Esta exposición explora la interacción de los materiales en el ámbito de la escultura, presentando obras que desafían, celebran y redefinen nuestra comprensión de la sustancia material. Para conectar su obra con este tema, considere cómo su elección de medio y temática puede reflejar simultáneamente los aspectos físicos y conceptuales. Los formatos incluyen: mural, interactiva, instalación y video. Se aceptan interpretaciones abiertas del tema de la exposición.",,https://www.chicagosculpture.org/call-for-entries/2025-csi-biennale-at-evanston-art-center,Convocatoria,"Visuales, Escultura","August 2, 2025 10:50 PM",,,No,No,https://www.chicagosculpture.org/call-for-entries/2025-csi-biennale-at-evanston-art-center,No,,,,
Beca︱Eamonn McCabe,Convocatoria | Beca Eidolon 2025  (https://www.notion.so/Convocatoria-Beca-Eidolon-2025-1b89dd874b3a810eb442d617f464011e?pvs=21),Eamonn Mccabe Bursary,Revisar,https://www.artconnect.com/opportunity/BCrnFP8W5pXBOBR20nj3S,Reino Unido,"August 4, 2025",Yes,RPS,,,No,"In recognition of the significant legacy and widely-held respect across photography for Eamonn McCabe, the RPS, in partnership with Eamonn McCabe's family and The Guardian , has launched the Eamonn McCabe bursary.

This new International bursary launched in 2024 commemorates the life of photojournalist Eamonn McCabe (1948-2022). McCabe made his name as a sports photographer before moving to wider editorial work, mainly working for The Observer and The Guardian newspapers. He was widely respected and supported a generation of photographers from the 1980s to the 2020s. Through his own photography, books and broadcasting, he did much to raise awareness of photography’s history and significance to a wider public. He was Fellow of the RPS. This bursary looks to continue that legacy. It is supported by Eamonn McCabe’s family and The Guardian newspaper.

As well as professional sports we particularly encourage projects covering grassroots and community activities. These could be addressing issues such as mental health, or supporting displaced communities etc. We will also welcome creative interpretations on the theme.

Applicants should be aged 30 years or under on the closing date. Interviews via Zoom will take place in September and we would expect to announce the recipient by the end of September. The project should be completed within one year of it being awarded.",,https://rps.org/opportunities/bursaries/eamonn-mccabe-bursary/,Beca,"Visuales, Fotografía","August 2, 2025 10:54 PM",,,No,No,https://rps.org/opportunities/bursaries/eamonn-mccabe-bursary/,No,,,,
Residencia︱Centro Bemis,Residencias Joaquim Jordà para cineastas (https://www.notion.so/Residencias-Joaquim-Jord-para-cineastas-2329dd874b3a813cb725f372863f0727?pvs=21),2026 Fall Artist-In-Residence,Revisar,https://www.artconnect.com/opportunity/vJX-qFhD2epA_EoEg6u3K,EEUU,"August 4, 2025",Yes,Bemis Center,,,No,"Desde 1981, el Centro Bemis ha brindado a artistas de todo el mundo tiempo, espacio y recursos dedicados para realizar investigaciones y crear nuevas obras. Ubicado en el histórico Old Market, el distrito artístico y cultural de Omaha, las instalaciones del Centro Bemis, de 110,000 pies cuadrados, albergan una amplia gama de actividades artísticas. Algunos artistas residentes disfrutan de amplios estudios privados, con cocina y baño, un estipendio mensual de $1,250 USD y un estipendio de viaje de $750. Debido a las limitaciones de las visas B2 (de gira o visita), los artistas residentes internacionales no pueden recibir el estipendio directamente, pero sí pueden recibir un reembolso de hasta el monto total del estipendio para gastos calificados, como boletos de avión, transporte terrestre y comidas. Los artistas residentes son responsables de organizar su viaje a Omaha para asistir a la residencia. Los artistas residentes tienen acceso las 24 horas a amplios espacios de instalación y producción, así como al Centro de Escultura y Cerámica Okada, un espacio industrial de 840 metros cuadrados destinado a la fabricación de esculturas a gran escala; además, cuentan con un Estudio de Sonido para ensayos y grabaciones. Esta residencia, impulsada por la idea investigación independiente, se desarrolla en un entorno comunitario, fomentando el crecimiento creativo, la experimentación y el intercambio solidario. No se espera que los residentes creen, ni se les promete una exposición en nuestras galerías de la primera planta.",,https://www.bemiscenter.org/apply,Residencia,"Otras, Multidisciplinar","August 2, 2025 10:55 PM",,,No,No,https://www.bemiscenter.org/residency/artists-in-residence,No,,,,
